Source;Target;book;Weight
Velerad;Geralt;1;1
Geralt;Foltest;1;5
Foltest;Ostrit;1;4
Adda;Velerad;1;1
Ostrit;Adda;1;4
Yennefer;Two;1;5
Roach;Iola;1;1
Two;Roach;1;1
Asse;Vereena;1;1
Vereena;Hereward;1;2
Hereward;Falwick;1;12
Falwick;Caldemeyn;1;12
Caldemeyn;Count;1;4
Stregobor;Eltibald;1;8
Renfri;Stregobor;1;2
Nohorn;Renfri;1;4
Civril;Tavik;1;14
Tavik;Fifteen;1;11
Fifteen;Civril;1;1
Iola;Nohorn;1;4
Eist;Windhalm;1;3
Crach;Eist;1;4
Draig;Crach;1;6
Drogodar;Draig;1;5
Ravix;Drogodar;1;3
Windhalm;Nettly;1;4
Akerspaark;Dhun;1;1
Nettly;Lille;1;2
Dhun;Little;1;2
Lille;Galarr;1;1
Galarr;Vanadain;1;2
Aen;Toruviel;1;2
Vanadain;Filavandrel;1;1
Toruviel;Aen;1;1
Filavandrel;Field;1;3
Field;Yennefer;1;1
King;Errdil;1;1
Chireadan;Vratimir;1;4
Errdil;Chireadan;1;1
Vratimir;King;1;1
Count;Istredd;1;1
Istredd;Herbolth;1;2
Herbolth;Seven;1;4
Seven;Dandelion;1;2
Vespula;Gar;1;1
Dandelion;Dudu;1;8
Gar;Vimme;1;2
Dudu;Vespula;1;8
Vimme;Sword;1;1
Little;Agloval;1;1
Sword;Teleri;1;3
Agloval;Essi;1;1
Teleri;Duke;1;1
Essi;Zelest;1;1
Duke;Veverka;1;1
Zelest;Braenn;1;1
Veverka;Freixenet;1;1
Braenn;Eithné;1;1
Freixenet;Ciri;1;1
Eithné;Venzlav;1;1
Ciri;Guy;1;1
Venzlav;Yurga;1;2
Yurga;Visenna;1;4
Visenna;Sheldon;1;1
Sheldon;Donimir;1;9
Donimir;Rience;1;17
Rience;Lambert;1;3
Lambert;Vanielle;1;1
Vanielle;Ori;1;4
Ori;Forest;1;8
Forest;Yarpen;1;12
Yarpen;Regan;1;2
Yannick;Paulie;1;3
Paulie;Yannick;1;3
Regan;Henselt;1;3
Henselt;Aelirenn;1;2
Aelirenn;Everett;1;1
Everett;Shani;1;2
Shani;Philippa;1;1
Philippa;Meve;1;1
Meve;Ethain;1;1
Ethain;Emhyr;1;3
Ithlinne;Tissaia;1;2
Emhyr;Vilgefortz;1;1
Vilgefortz;Lydia;1;2
Ekkehard;Artaud;1;5
Artaud;Jarre;1;1
Tissaia;Jan;1;2
Lydia;Blue;1;1
Jarre;Ithlinne;1;3
Blue;Aplegatt;1;1
Aplegatt;Demavend;1;3
Demavend;Codringher;1;2
Codringher;Sabrina;1;10
Sabrina;Horm;1;3
Horm;Akerspaark;1;2
Falka;Rayla;1;2
Rayla;Bran;1;1
Bran;Falka;1;1
Carduin;Esterad;1;6
Marti;Carduin;1;1
Dorregaray;Marti;1;2
Keira;Dorregaray;1;1
Leticia;Keira;1;5
Sigismund;Voymir;1;1
Esterad;Morvran;1;1
Morvran;Fauve;1;2
Fauve;Menno;1;1
Bronibor;Stefan;1;1
Menno;Xarthisius;1;2
Ardal;Vattier;1;4
Vattier;Ceallach;1;4
Xarthisius;Cahir;1;1
Cahir;Kayleigh;1;2
Ceallach;Iskra;1;2
Kayleigh;Mistle;1;1
Iskra;Rudiger;1;1
Mistle;Asse;1;1
Rudiger;Milva;1;1
Milva;Maria;1;2
Maria;Assire;1;2
Shilard;Sheala;1;1
Stefan;Riordain;1;1
Assire;Zoltan;1;1
Sheala;Percival;1;1
Zoltan;Munro;1;2
Percival;Figgis;1;1
Munro;Emiel;1;1
Figgis;Brouver;1;1
Emiel;Aubry;1;1
Aubry;Daniel;1;1
Daniel;Morteisen;1;2
Vreemde;Fringilla;1;3
Fringilla;Merlin;1;7
Merlin;Albrich;1;3
Albrich;Ida;1;4
Stella;Adalia;1;3
Ida;Connor;1;2
Adalia;Dyffryn;1;3
Dyffryn;Sigrdrifa;1;6
Zuleyka;Zyvik;1;6
Sigrdrifa;Vysogota;1;2
Vysogota;Kelpie;1;1
Kelpie;Carthia;1;3
Carthia;Joanna;1;3
Fergus;Zuleyka;1;7
Jacob;Hjalmar;1;2
Hjalmar;Ardal;1;5
Joanna;Milo;1;1
Jan;Arthur;1;1
Milo;Nimue;1;1
Arthur;Stella;1;1
Nimue;Reynart;1;1
Reynart;Palmerin;1;2
Reynard;Fulko;1;3
Palmerin;Joachim;1;3
Joachim;Eredin;1;5
